Category,Exercise,Difficulty,Duration Type,Description
Full Body,Jumping jacks,All Levels,minutes,"Bend your knees slightly, jump or hop lightly off the ground, landing softly with knees slightly bent."
Full Body,Jumping jacks — low impact,All Levels,minutes,"Bend your knees slightly, jump or hop lightly off the ground, landing softly with knees slightly bent."
Full Body,Jumping jacks — arm reach,All Levels,minutes,"Bend your knees slightly, jump or hop lightly off the ground, landing softly with knees slightly bent."
Full Body,Jumping jacks — knee drive focus,All Levels,minutes,"Bend your knees slightly, jump or hop lightly off the ground, landing softly with knees slightly bent."
Full Body,Power jacks,All Levels,minutes,"Bend your knees slightly, jump or hop lightly off the ground, landing softly with knees slightly bent."
Full Body,Power jacks — low impact,All Levels,minutes,"Bend your knees slightly, jump or hop lightly off the ground, landing softly with knees slightly bent."
Full Body,Power jacks — arm reach,All Levels,minutes,"Bend your knees slightly, jump or hop lightly off the ground, landing softly with knees slightly bent."
Full Body,Power jacks — knee drive focus,All Levels,minutes,"Bend your knees slightly, jump or hop lightly off the ground, landing softly with knees slightly bent."
Full Body,Step jacks,All Levels,minutes,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Full Body,Step jacks — low impact,All Levels,minutes,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Full Body,Step jacks — arm reach,All Levels,minutes,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Full Body,Step jacks — knee drive focus,All Levels,minutes,"Step onto a stable surface with one foot, push through your heel to lift your body, and step down with control."
Full Body,Star jumps (low-impact option),All Levels,Reps,"Bend your knees slightly, jump or hop lightly off the ground, landing softly with knees slightly bent."
Full Body,Star jumps (low-impact option) — low impact,All Levels,Reps,"Bend your knees slightly, jump or hop lightly off the ground, landing softly with knees slightly bent."
Full Body,Star jumps (low-impact option) — arm reach,All Levels,Reps,"Bend your knees slightly, jump or hop lightly off the ground, landing softly with knees slightly bent."
Full Body,Star jumps (low-impact option) — knee drive focus,All Levels,Reps,"Bend your knees slightly, jump or hop lightly off the ground, landing softly with knees slightly bent."
Full Body,Half burpees,All Levels,Reps,"From standing, squat down, place your hands on the floor, step or jump back to plank, then return to stand."
Full Body,Half burpees — low impact,All Levels,Reps,"From standing, squat down, place your hands on the floor, step or jump back to plank, then return to stand."
